Municípios,Gentílico,PIB per capita,População
Itutinga,mineiro,46016.16,4217
Jaboticatubas,mineiro,14403.17,20406
Jacinto,mineiro,10680.55,11042
Jacuí,mineiro,19619.02,7495
Jacutinga,mineiro,43106.68,25525
Jaguaraçu,mineiro,34860.43,3092
Jaíba,mineiro,21310.16,37660
Jampruca,mineiro,15136.53,4296
Janaúba,mineiro,22157.83,70699
Januária,mineiro,12133.95,65150
Japaraíba,mineiro,22937.4,4506
Japonvar,mineiro,9688.75,8127
Jeceaba,mineiro,407353.2,6197
Jenipapo de Minas,mineiro,10214.67,6100
Jequeri,mineiro,15840.35,12419
Jequitaí,mineiro,17614.92,6484
Jequitibá,mineiro,24253.55,5883
Jequitinhonha,mineiro,10754.52,24007
Jesuânia,mineiro,21827.32,5138
Joaíma,mineiro,10509.42,13888
Joanésia,mineiro,25154.48,4329
João Monlevade,mineiro,59963.67,80187
João Pinheiro,mineiro,44929.59,46801
Joaquim Felício,mineiro,15206.06,3854
Jordânia,mineiro,9857.64,10304
José Gonçalves de Minas,mineiro,11565.81,3969
José Raydan,mineiro,14172.89,4268
Josenópolis,mineiro,11815.85,3630
Juatuba,mineiro,51653.48,30716
Juiz de Fora,mineiro,35145.34,540756
Juramento,mineiro,11839.64,3768
Juruaia,mineiro,25392.25,11084
Juvenília,mineiro,11502.41,5789
Ladainha,mineiro,8063.14,14383
Lagamar,mineiro,31961.94,6631
Lagoa da Prata,mineiro,37310.73,51412
Lagoa dos Patos,mineiro,14675.29,3313
Lagoa Dourada,mineiro,26337.64,12769
Lagoa Formosa,mineiro,31130.75,18904
Lagoa Grande,mineiro,30214.48,8969
Lagoa Santa,mineiro,32802.82,75145
Lajinha,mineiro,20069.96,20835
Lambari,mineiro,19293.34,20414
Lamim,mineiro,15487.44,3184
Laranjal,mineiro,13971.34,5963
Lassance,mineiro,29649.11,7124
Lavras,mineiro,27818.1,104761
Leandro Ferreira,mineiro,17228.55,3199
Leme do Prado,mineiro,13448.01,4341
Leopoldina,mineiro,21124.06,51145
Liberdade,mineiro,21553.54,4737
Lima Duarte,mineiro,20279.44,17221
Limeira do Oeste,mineiro,60582.62,8687
Lontra,mineiro,9610.66,8790
Luisburgo,mineiro,21249.6,6956
Luislândia,mineiro,9721.43,6210
Luminárias,mineiro,27448.05,5586
Luz,mineiro,35908.88,17875
Machacalis,mineiro,15811.47,6487
Machado,mineiro,32188.05,37684
Madre de Deus de Minas,mineiro,58993.52,5191
Malacacheta,mineiro,12708.51,17516
Mamonas,mineiro,9155.69,5997
Manga,mineiro,13482.39,18886
Manhuaçu,mineiro,35607.52,91886
Manhumirim,mineiro,24613.19,20613
Mantena,mineiro,17248.55,26535
Mar de Espanha,mineiro,17526.23,12721
Maravilhas,mineiro,28738.33,7333
Maria da Fé,mineiro,14490.07,14247
Mariana,mineiro,119155.4,61387
Marilac,mineiro,14150.23,4224
Mário Campos,mineiro,12520.55,15900
Maripá de Minas,mineiro,24993.05,3387
Marliéria,mineiro,14999.89,4592
Marmelópolis,mineiro,15843.65,3200
Martinho Campos,mineiro,35176.11,14003
Martins Soares,mineiro,24963.05,8396
Mata Verde,mineiro,10526.08,9112
Materlândia,mineiro,13710.97,3963
Mateus Leme,mineiro,34132.67,37841
Mathias Lobato,mineiro,13915.37,3038
Matias Barbosa,mineiro,42951.23,14121
Matias Cardoso,mineiro,13964.57,8895
Matipó,mineiro,22270.48,18552
Mato Verde,mineiro,12741.8,12038
Matozinhos,mineiro,39152.41,37618
Matutina,mineiro,26036.56,3814
Medeiros,mineiro,64058.5,3900
Medina,mineiro,12224.08,20156
Mendes Pimentel,mineiro,12006.86,5606
Mercês,mineiro,14085.21,10373
Mesquita,mineiro,10833.03,5040
Minas Novas,mineiro,11112.45,24405
Minduri,mineiro,42093.45,3741
Mirabela,mineiro,11941.74,13651
Miradouro,mineiro,16084.86,8968
Miraí,mineiro,21973.7,13633
Miravânia,mineiro,9477.13,3985
Moeda,mineiro,15529.83,5125
Moema,mineiro,20110.03,7548
Monjolos,mineiro,21433.52,2169
Monsenhor Paulo,mineiro,26033.53,8340
Montalvânia,mineiro,11313.56,14060
Monte Alegre de Minas,mineiro,35500.1,20170
Monte Azul,mineiro,12467.46,20328
Monte Belo,mineiro,27847.63,13046
Monte Carmelo,mineiro,32440.12,47692
Monte Formoso,mineiro,8919.75,4381
Monte Santo de Minas,mineiro,22477.33,20890
Monte Sião,mineiro,25011.26,24089
Montes Claros,mineiro,25870.23,414240
Montezuma,mineiro,10868.92,6888
Morada Nova de Minas,mineiro,60432.26,9067
Morro da Garça,mineiro,21156.64,2411
Morro do Pilar,mineiro,14113.38,3133
Munhoz,mineiro,21570.92,7451
Muriaé,mineiro,24137.53,104108
Mutum,mineiro,18874.87,27635
Muzambinho,mineiro,26091.09,21891
Nacip Raydan,mineiro,11607,2459
Nanuque,mineiro,19924.58,35038
Naque,mineiro,12675.74,6303
Natalândia,mineiro,22725.11,3520
Natércia,mineiro,24403.15,4691
Nazareno,mineiro,76794.68,8179
Nepomuceno,mineiro,23008.04,25018
Ninheira,mineiro,12205.08,10588
Nova Belém,mineiro,27201.82,3151
Nova Era,mineiro,24702.73,17438
Nova Lima,mineiro,216092.4,111697
Nova Módica,mineiro,16530.55,3663
Nova Ponte,mineiro,69569.06,14598
Nova Porteirinha,mineiro,15515.42,6706
Nova Resende,mineiro,22770.81,16387
Nova Serrana,mineiro,24352.06,105552
Nova União,mineiro,18734.56,5909
Novo Cruzeiro,mineiro,10544.29,26975
Novo Oriente de Minas,mineiro,11256.56,10275
Novorizonte,mineiro,13167.03,4571
Olaria,mineiro,18836.72,1945
Olhos-d'Água,mineiro,33947.04,5385
Olímpio Noronha,mineiro,15528.17,2555
Oliveira,mineiro,26318.88,39262
Oliveira Fortes,mineiro,19047.02,2027
Onça de Pitangui,mineiro,20575.42,2969
Oratórios,mineiro,15170.99,4917
Orizânia,mineiro,14998.7,8437
Ouro Branco,mineiro,219860,38724
Ouro Fino,mineiro,27526.34,32094
Ouro Preto,mineiro,127232.37,74821
Ouro Verde de Minas,mineiro,11503.59,5757
Padre Carvalho,mineiro,8999.72,5058
Padre Paraíso,mineiro,10514.08,17334
Pai Pedro,mineiro,9617.09,5551
Paineiras,mineiro,18654.32,4224
Pains,mineiro,63965.84,8142
Paiva,mineiro,17996.58,1474
Palma,mineiro,15693.82,5707
Palmópolis,mineiro,12292.83,6301
Papagaios,mineiro,23511.04,13920
Pará de Minas,mineiro,42098.58,97139
Paracatu,mineiro,76144.41,94023
Paraguaçu,mineiro,29998.34,21723
Paraisópolis,mineiro,27752.05,20445
Paraopeba,mineiro,36955.29,24107
Passa Quatro,mineiro,28737.93,15515
Passa Tempo,mineiro,59808.53,8473
Passa Vinte,mineiro,20794.2,2233
Passabém,mineiro,14574,1600
Passos,mineiro,26081.82,111939
Patis,mineiro,9122.53,4837
Patos de Minas,mineiro,39738.04,159235
Patrocínio,mineiro,39932.3,89826
Patrocínio do Muriaé,mineiro,20206.33,5576
Paula Cândido,mineiro,14255.97,8659
Paulistas,mineiro,14048.81,4389
Pavão,mineiro,11093.87,8047
Peçanha,mineiro,15407.09,17446
Pedra Azul,mineiro,16498.08,24410
Pedra Bonita,mineiro,13480.12,7320
Pedra do Anta,mineiro,19502.49,3311
Pedra do Indaiá,mineiro,29206.43,4112
Pedra Dourada,mineiro,16527.2,2757
Pedralva,mineiro,16460.4,10760
Pedras de Maria da Cruz,mineiro,8900.37,10433
Pedrinópolis,mineiro,55906.67,3344
Pedro Leopoldo,mineiro,29763.4,62580
Pedro Teixeira,mineiro,16778.21,1810
Pequeri,mineiro,18724.66,3351
Pequi,mineiro,19184.76,4155
Perdigão,mineiro,18941.95,12268
Perdizes,mineiro,98918.71,17151
Perdões,mineiro,29060.6,21384
Periquito,mineiro,16574.4,6553
Pescador,mineiro,11054.09,3570
Piau,mineiro,34082.97,2796
Piedade de Caratinga,mineiro,15939.53,8529
Piedade de Ponte Nova,mineiro,15149.65,3976
Piedade do Rio Grande,mineiro,24887.48,4604
Piedade dos Gerais,mineiro,17842.82,5019
Pimenta,mineiro,32326.06,8563
Pingo-d'Água,mineiro,10483.1,4706
Pintópolis,mineiro,9445.44,7084
Piracema,mineiro,47478.8,6700
Pirajuba,mineiro,62212.95,5537
Piranga,mineiro,11347.31,17018
Piranguçu,mineiro,14238.45,6041
Piranguinho,mineiro,15671.86,9120
Pirapetinga,mineiro,59224.34,11077
Pirapora,mineiro,50580.69,55606
Piraúba,mineiro,18697.86,11610
Pitangui,mineiro,26073.15,26685
Piumhi,mineiro,36452.59,36062
Planura,mineiro,46149.3,11145
Poço Fundo,mineiro,23897.47,16390
Poços de Caldas,mineiro,50234.29,163742
Pocrane,mineiro,14686.18,8350
Pompéu,mineiro,36287.11,31047
Ponte Nova,mineiro,35748.11,57776
Ponto Chique,mineiro,12096.62,3747
Ponto dos Volantes,mineiro,10016.81,10883
Porteirinha,mineiro,13931.71,37438
Porto Firme,mineiro,11411.12,10569
Poté,mineiro,10122.67,13666
Pouso Alegre,mineiro,69478.81,152217
Pouso Alto,mineiro,47333.42,6566
Prados,mineiro,25109.69,9048
Prata,mineiro,45907.1,28342
Pratápolis,mineiro,26805.27,8406
Pratinha,mineiro,42299.41,3559
Presidente Bernardes,mineiro,12740.53,4850
Presidente Juscelino,mineiro,13744.52,3465
Presidente Kubitschek,mineiro,12064.56,3071
Presidente Olegário,mineiro,37169.17,18765
Prudente de Morais,mineiro,18583.47,11466
Quartel Geral,mineiro,21546.08,3179
Queluzito,mineiro,20557.6,1770
Raposos,mineiro,11738.63,16279
Raul Soares,mineiro,17893.53,23423
Recreio,mineiro,11720.36,11007
Reduto,mineiro,16727.6,7848
Resende Costa,mineiro,17924.97,11230
Resplendor,mineiro,15972.45,17226
Ressaquinha,mineiro,77296.87,4548
Riachinho,mineiro,19338.76,6863
Riacho dos Machados,mineiro,56250.5,8756
Ribeirão das Neves,mineiro,15177.16,329794
Ribeirão Vermelho,mineiro,25941.3,4080
Rio Acima,mineiro,44894.6,10261
Rio Casca,mineiro,17735.11,12789
Rio do Prado,mineiro,10293.72,4639
Rio Doce,mineiro,19723.72,2484
Rio Espera,mineiro,11179.64,5429
Rio Manso,mineiro,19200.76,5568
Rio Novo,mineiro,13398.92,8518
Rio Paranaíba,mineiro,73353.29,14532
Rio Pardo de Minas,mineiro,11082.95,28271
Rio Piracicaba,mineiro,93493.98,14631
Rio Pomba,mineiro,23182.02,17443
Rio Preto,mineiro,12594.6,5141
Rio Vermelho,mineiro,11141.09,12641
Ritápolis,mineiro,19986.09,4994
Rochedo de Minas,mineiro,49137.34,2291
Rodeiro,mineiro,66014.18,8664
Romaria,mineiro,77429.93,3386
Rosário da Limeira,mineiro,14573.75,4734
Rubelita,mineiro,14277.94,5679
Rubim,mineiro,10879.32,10298
Sabará,mineiro,30474.48,129380
Sabinópolis,mineiro,21787.62,14240
Sacramento,mineiro,78738.77,26670
Salinas,mineiro,15942.32,40178
Salto da Divisa,mineiro,18829.72,6110
Santa Bárbara,mineiro,51093.18,30466
Santa Bárbara do Leste,mineiro,13595.98,8458
Santa Bárbara do Monte Verde,mineiro,17510.49,3095
Santa Bárbara do Tugúrio,mineiro,16098.97,4208
Santa Cruz de Minas,mineiro,11867.33,8109
Santa Cruz de Salinas,mineiro,12029.68,3910
Santa Cruz do Escalvado,mineiro,16399.94,4673
Santa Efigênia de Minas,mineiro,11717.67,4039
Santa Fé de Minas,mineiro,15749.38,3522
Santa Helena de Minas,mineiro,9046.39,5938
Santa Juliana,mineiro,59355.88,15734
Santa Luzia,mineiro,23863.19,219132
Santa Margarida,mineiro,21598.4,16395
Santa Maria de Itabira,mineiro,24757.78,10485
Santa Maria do Salto,mineiro,9608.97,4755
Santa Maria do Suaçuí,mineiro,11695.78,12788
