Municípios,Gentílico,PIB per capita,População
Conceição do Pará,mineiro,"88902,87 R$",5415 pessoas
Conceição do Rio Verde,mineiro,"25025,75 R$",12541 pessoas
Conceição dos Ouros,mineiro,"18994,87 R$",10880 pessoas
Cônego Marinho,mineiro,"8212,18 R$",7237 pessoas
Confins,mineiro,"70734,21 R$",7350 pessoas
Congonhal,mineiro,"18053,14 R$",11083 pessoas
Congonhas,mineiro,"73709,5 R$",52890 pessoas
Congonhas do Norte,mineiro,"9768,27 R$",4831 pessoas
Conquista,mineiro,"70049,61 R$",6694 pessoas
Conselheiro Lafaiete,mineiro,"23881,55 R$",131621 pessoas
Conselheiro Pena,mineiro,"16708,53 R$",20824 pessoas
Consolação,mineiro,"17609,85 R$",1563 pessoas
Contagem,mineiro,"54136,41 R$",621863 pessoas
Coqueiral,mineiro,"25735,37 R$",9023 pessoas
Coração de Jesus,mineiro,"10251,33 R$",25377 pessoas
Cordisburgo,mineiro,"16419,95 R$",7547 pessoas
Cordislândia,mineiro,"32084,04 R$",3200 pessoas
Corinto,mineiro,"25937,03 R$",23532 pessoas
Coroaci,mineiro,"12690,02 R$",10884 pessoas
Coromandel,mineiro,"54911,1 R$",28894 pessoas
Coronel Fabriciano,mineiro,"18029,42 R$",104736 pessoas
Coronel Murta,mineiro,"13016,09 R$",8200 pessoas
Coronel Pacheco,mineiro,"19419,15 R$",2762 pessoas
Coronel Xavier Chaves,mineiro,"26367,67 R$",3486 pessoas
Córrego Danta,mineiro,"52273,69 R$",2960 pessoas
Córrego do Bom Jesus,mineiro,"12384,73 R$",4272 pessoas
Córrego Fundo,mineiro,"49904,63 R$",6133 pessoas
Córrego Novo,mineiro,"14332,74 R$",2875 pessoas
Couto de Magalhães de Minas,mineiro,"14262,94 R$",4245 pessoas
Crisólita,mineiro,"11215,05 R$",5265 pessoas
Cristais,mineiro,"22628,65 R$",12197 pessoas
Cristália,mineiro,"9875,05 R$",5121 pessoas
Cristiano Otoni,mineiro,"23967,13 R$",4667 pessoas
Cristina,mineiro,"22906,28 R$",10374 pessoas
Crucilândia,mineiro,"16383,73 R$",5434 pessoas
Cruzeiro da Fortaleza,mineiro,"50408,9 R$",3521 pessoas
